,Currency A,A Return%,Currency B,B Return%,trades,Pair Return%
64,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,90,307.61206649683686
65,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,44,535.9344314802728
66,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,66,140.64442052775678
67,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,28,426.50237440232826
68,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,106,149.0209916437867
69,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,52,620.9959867918361
70,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,104,148.23830069067353
71,ETHUSD,402.85229620104246,FTTUSD,556.5127853097649,52,526.6180069135216
72,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,64,504.30203084822125
73,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,36,-313.5545473998147
74,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,94,426.26954840435144
75,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,43,1580.665611966804
76,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,96,815.7002294113505
77,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,45,730.0509436079997
78,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,66,694.9473322025119
79,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,30,-54.83170245266468
80,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,98,550.0787791526196
81,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,44,948.7730996048422
82,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,98,265.2584906464017
83,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,47,630.8082017944553
84,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,73,550.7510259100586
85,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,32,343.9599272838872
86,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,104,604.006017340522
87,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,44,712.4583084815031
88,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,104,204.8840551902618
89,XRPUSD,248.3709172038313,FTTUSD,556.5127853097649,48,725.6328479476384
90,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,62,519.6525050884602
91,ADAUSD,645.120443763658,XRPUSD,248.3709172038313,32,567.4688567261736
